12,1
13,1
28,1
47,1
35,4
49,4
6,4
32,4
22,5
29,5
40,5
28,5
47,5
48,5
32,6
41,6
4,6
35,8
20,8
40,8
49,8
56,8
31,8
36,9
25,9
44,9
24,10
34,10
42,10
24,11
51,11
13,12
1,12
12,13
45,13
1,13
47,13
37,13
41,16
49,16
56,16
53,16
30,16
32,16
29,17
21,17
55,17
19,17
18,17
39,18
17,18
21,18
26,18
27,19
55,19
29,19
17,19
31,19
46,19
29,20
40,20
31,20
8,20
47,21
17,21
29,21
51,21
18,21
39,21
54,21
48,22
5,22
28,22
33,23
42,24
54,24
10,24
51,24
11,24
9,25
36,25
50,25
44,25
33,25
18,26
55,26
39,26
46,27
55,27
38,27
19,27
22,28
47,28
5,28
1,28
20,29
19,29
31,29
5,29
17,29
40,29
21,29
47,29
16,30
56,30
46,30
38,30
56,31
46,31
19,31
8,31
20,31
29,31
4,32
6,32
16,32
49,32
41,32
23,33
25,33
50,33
36,34
42,34
10,34
4,35
8,35
48,35
40,35
42,36
34,36
50,36
25,36
9,36
51,37
45,37
47,37
13,37
46,38
30,38
27,38
21,39
42,39
54,39
18,39
26,39
5,40
20,40
48,40
8,40
35,40
29,40
16,41
53,41
6,41
32,41
24,42
39,42
54,42
36,42
34,42
10,42
25,44
9,44
13,45
37,45
31,46
27,46
38,46
30,46
56,46
19,46
37,47
13,47
21,47
51,47
5,47
29,47
28,47
1,47
35,48
5,48
40,48
22,48
32,49
16,49
8,49
56,49
4,49
36,50
25,50
33,50
24,51
54,51
11,51
37,51
21,51
47,51
16,53
41,53
24,54
51,54
39,54
42,54
21,54
27,55
19,55
26,55
17,55
8,56
30,56
46,56
31,56
16,56
49,56
